europe.city-maiden-castle | Maiden Castle | Europe | s=-600 e=-43 ext=None b=[-636, -564] | typological | h=None ds=None | Largest Iron Age hillfort in Britain; proto-urban tribal centre, not a city. | al=Dorset
southeast-asia.city-luylau | Luy Lau | Southeast Asia | s=-100 e=600 ext=None b=[-150, -50] | typological | h=None ds=None | Han-era administrative capital of Jiaozhi and Vietnam's first Buddhist centre. | al=Lien Lau,Longbian,Bac Ninh
southeast-asia.city-mahendraparvata | Mahendraparvata | Southeast Asia | s=802 e=900 ext=None b=[754, 850] | typological | h=None ds=None | Mountain city where Jayavarman II declared Khmer independence; found by lidar in 2012. | al=Phnom Kulen
southeast-asia.city-malacca | Malacca | Southeast Asia | s=1400 e=None ext=True b=[None, None] | calendar | h=None ds=None | Sultanate emporium that controlled the straits and became the pivot of Asian maritime trade. | al=Melaka,Malaqa
southeast-asia.city-manila | Manila | Southeast Asia | s=1250 e=None ext=True b=[None, None] | calendar | h=None ds=None | Muslim-ruled Pasig river port that became the Spanish capital of the Philippines. | al=Maynila,Selurong
southeast-asia.city-mataram-medang | Medang | Southeast Asia | s=732 e=929 ext=None b=[623, 841] | typological | h=None ds=None | Central Javanese kingdom whose shifting royal centre produced Borobudur and Prambanan. | al=Mataram Kuno,Mdang,Central Java
southeast-asia.city-mottama | Mottama | Southeast Asia | s=1050 e=None ext=True b=[None, None] | calendar | h=None ds=None | Mon port capital that gave its name to Martaban storage jars traded across the Indian Ocean. | al=Martaban,Muttama
southeast-asia.city-mrauku | Mrauk U | Southeast Asia | s=1430 e=None ext=True b=[None, None] | calendar | h=None ds=None | Arakanese capital and cosmopolitan Bay of Bengal port city. | al=Mrohaung,Myohaung,Rakhine State
southeast-asia.city-muara-jambi | Muara Jambi | Southeast Asia | s=700 e=1400 ext=None b=[595, 805] | typological | h=None ds=None | Largest Buddhist temple-city complex in Sumatra, a monastic and trading centre of the Malayu polity. | al=Melayu,Jambi
southeast-asia.city-myson | My Son | Southeast Asia | s=400 e=1300 ext=None b=[390, 410] | typological | h=None ds=None | Cham royal temple valley used for nine centuries; a sanctuary complex, not a city. | al=Mi Son,Srisanabhadresvara,Duy Xuyen
southeast-asia.city-nakhon-pathom | Nakhon Pathom | Southeast Asia | s=-100 e=None ext=True b=[-125, -75] | typological | h=None ds=None | Chief city of the Mon Dvaravati culture and earliest Buddhist centre in Thailand. | al=Nakhon Chai Si,Nakorn Pathom
southeast-asia.city-nakhonsithammarat | Nakhon Si Thammarat | Southeast Asia | s=-200 e=None ext=True b=[-225, -175] | typological | h=None ds=None | Peninsular kingdom of Tambralinga, key node between Srivijaya and Sri Lanka. | al=Tambralinga,Ligor
southeast-asia.city-oc-eo | Oc Eo | Southeast Asia | s=-100 e=700 ext=None b=[-110, -90] | typological | h=None ds=None | Funan's canal port where Roman, Indian and Han goods met; possibly Ptolemy's Kattigara. | al=Oc-Eo,Kattigara,An Giang
southeast-asia.city-pakuan-pajajaran | Pakuan Pajajaran | Southeast Asia | s=1030 e=1579 ext=None b=[None, None] | calendar | h=None ds=None | Capital of the Hindu Sunda kingdom, destroyed by Banten in 1579. | al=Pakwan,Sunda Kelapa hinterland,Bogor
southeast-asia.city-palembang-srivijaya | Palembang | Southeast Asia | s=600 e=None ext=True b=[564, 636] | typological | h=None ds=None | Riverine capital of Srivijaya, the thalassocracy that controlled the Malacca and Sunda straits. | al=Srivijaya capital,Bukit Seguntang,South Sumatra
southeast-asia.city-panduranga | Panduranga | Southeast Asia | s=800 e=None ext=True b=[680, 920] | typological | h=None ds=None | Southernmost Cham principality and last surviving seat of Cham rule. | al=Phan Rang,Virapura
southeast-asia.city-pejeng | Pejeng | Southeast Asia | s=800 e=None ext=True b=[680, 920] | typological | h=None ds=None | Capital district of early Balinese kingdoms, with rock-cut sanctuaries and the great Moon of Pejeng drum. | al=Bedulu,Bali
southeast-asia.city-phimai | Phimai | Southeast Asia | s=1000 e=None ext=True b=[None, None] | calendar | h=None ds=None | Northern terminus of the Khmer royal road and a great Mahayana temple city. | al=Vimayapura,Nakhon Ratchasima
southeast-asia.city-phnom-penh | Phnom Penh | Southeast Asia | s=1372 e=None ext=True b=[None, None] | calendar | h=None ds=None | Khmer capital after Angkor, at the confluence of the Mekong and Tonle Sap. | al=Chaktomuk,Krong Chaktomuk
southeast-asia.city-pinya | Pinya | Southeast Asia | s=1313 e=1365 ext=None b=[None, None] | calendar | h=None ds=None | Capital of the post-Bagan Pinya kingdom in central Myanmar. | al=Pinle,Vijayapura,Mandalay Region
southeast-asia.city-prambanan-mataram | Prambanan | Southeast Asia | s=730 e=950 ext=None b=[687, 773] | typological | h=None ds=None | Royal temple-city of Hindu Mataram on the Kewu plain, abandoned when the court moved east. | al=Mataram capital,Medang,Central Java
southeast-asia.city-pyay | Pyay | Southeast Asia | s=1000 e=None ext=True b=[None, None] | calendar | h=None ds=None | Irrawaddy river port that succeeded nearby Sri Ksetra as the delta's northern gateway. | al=Prome,Pye
southeast-asia.city-ratu-boko | Ratu Boko | Southeast Asia | s=790 e=900 ext=None b=[672, 908] | typological | h=None ds=None | Fortified hilltop palace and monastery of the Medang court near Prambanan. | al=Ratu Baka,Abhayagiri Vihara,Sleman
southeast-asia.city-sagaing | Sagaing | Southeast Asia | s=1315 e=None ext=True b=[None, None] | calendar | h=None ds=None | Shan-Burmese capital and enduring monastic hill city on the Irrawaddy. | al=Sagaing myo
southeast-asia.city-sambor-prei-kuk | Sambor Prei Kuk | Southeast Asia | s=600 e=800 ext=None b=[588, 612] | typological | h=None ds=None | Capital of Chenla, the earliest large temple-city of the Khmer tradition. | al=Isanapura,Ishanapura,Kampong Thom
southeast-asia.city-samudera-pasai | Samudera Pasai | Southeast Asia | s=1267 e=1521 ext=None b=[None, None] | calendar | h=None ds=None | First Islamic sultanate in Southeast Asia and a major pepper port visited by Ibn Battuta. | al=Pasai,Samudra,North Aceh
southeast-asia.city-simhapura | Simhapura | Southeast Asia | s=300 e=750 ext=None b=[275, 325] | typological | h=None ds=None | Earliest Cham capital, walled citadel of the Amaravati region. | al=Tra Kieu,Trakieu,Duy Xuyen
southeast-asia.city-singhasari | Singhasari | Southeast Asia | s=1222 e=1292 ext=None b=[None, None] | calendar | h=None ds=None | Capital of Singhasari, whose king defied Kublai Khan and whose fall produced Majapahit. | al=Singosari,Kutaraja,Malang
southeast-asia.city-sisatchanalai | Si Satchanalai | Southeast Asia | s=1250 e=1500 ext=None b=[None, None] | calendar | h=None ds=None | Twin city of Sukhothai and centre of the Sangkhalok ceramic export industry. | al=Sawankhalok,Chaliang,Sukhothai province
southeast-asia.city-sithep | Si Thep | Southeast Asia | s=400 e=1100 ext=None b=[340, 460] | typological | h=None ds=None | Large moated Dvaravati-Khmer city on the route between the Chao Phraya and the Mekong. | al=Sri Deva,Srithep,Phetchabun
southeast-asia.city-sriksetra | Sri Ksetra | Southeast Asia | s=-200 e=1000 ext=None b=[-210, -190] | typological | h=None ds=None | Largest Pyu city and origin of Burmese Buddhist urbanism and the earliest Pali texts in Myanmar. | al=Thayekhittaya,Hmawza,Pyay
southeast-asia.city-sukhothai | Sukhothai | Southeast Asia | s=1238 e=1500 ext=None b=[None, None] | calendar | h=None ds=None | First Thai kingdom's capital, birthplace of Thai script and of Sinhalese-style Buddhism. | al=Sukhodaya,Sukhothai Historical Park
southeast-asia.city-surabaya | Surabaya | Southeast Asia | s=1200 e=None ext=True b=[None, None] | calendar | h=None ds=None | Brantas delta port fought over by Majapahit successors; later Java's chief harbour. | al=Surabaja,Churabaya
southeast-asia.city-tagaung | Tagaung | Southeast Asia | s=-100 e=1300 ext=None b=[-150, -50] | typological | h=None ds=None | Upper Irrawaddy town claimed in chronicles as the first Burmese kingdom's capital. | al=Tagaung myo,Sagaing Region
southeast-asia.city-tay-do | Tay Do | Southeast Asia | s=1397 e=1500 ext=None b=[None, None] | calendar | h=None ds=None | Purpose-built stone citadel capital of the short-lived Ho dynasty. | al=Ho citadel,Thanh Nha Ho,Thanh Hoa
southeast-asia.city-temasek | Temasek | Southeast Asia | s=1300 e=None ext=True b=[None, None] | calendar | h=None ds=None | Fortified 14th-century port settlement on Fort Canning hill, precursor to modern Singapore. | al=Singapura,Singapore
southeast-asia.city-ternate | Ternate | Southeast Asia | s=1257 e=None ext=True b=[None, None] | calendar | h=None ds=None | Clove sultanate capital and one of the two poles of the world spice trade. | al=Gamalama,Ternate town
southeast-asia.city-thaton | Thaton | Southeast Asia | s=300 e=None ext=True b=[275, 325] | typological | h=None ds=None | Mon capital whose conquest in 1057 brought Theravada Buddhism and Pali letters to Bagan. | al=Sudhammapura,Suvannabhumi
southeast-asia.city-tidore | Tidore | Southeast Asia | s=1300 e=None ext=True b=[None, None] | calendar | h=None ds=None | Rival clove sultanate to Ternate and eastern terminus of Asian spice shipping. | al=Tidore town
southeast-asia.city-toungoo | Toungoo | Southeast Asia | s=1279 e=None ext=True b=[None, None] | calendar | h=None ds=None | Base of the Toungoo dynasty that built the largest empire in Southeast Asian history. | al=Taungoo,Ketumadi
southeast-asia.city-trowulan | Trowulan | Southeast Asia | s=1290 e=None ext=True b=[None, None] | calendar | h=None ds=None | Brick city of canals and reservoirs that served as capital of the Majapahit maritime empire. | al=Majapahit capital,Wilwatikta,East Java
southeast-asia.city-tuban | Tuban | Southeast Asia | s=1200 e=None ext=True b=[None, None] | calendar | h=None ds=None | Majapahit's principal north-coast port and gateway for Chinese and Muslim traders. | al=Toeban
southeast-asia.city-uthong | U Thong | Southeast Asia | s=300 e=1000 ext=None b=[275, 325] | typological | h=None ds=None | Moated Dvaravati city, possibly the earliest capital of that Mon civilisation. | al=U-thong,Suphan Buri ancient city,Suphan Buri
southeast-asia.city-vientiane | Vientiane | Southeast Asia | s=1000 e=None ext=True b=[None, None] | calendar | h=None ds=None | Mekong river city that became the Lan Xang capital in the 1560s. | al=Vieng Chan,Wiang Chan
southeast-asia.city-vijaya-champa | Vijaya | Southeast Asia | s=1000 e=1471 ext=None b=[None, None] | calendar | h=None ds=None | Cham capital for four centuries, destroyed by the Vietnamese in 1471. | al=Cha Ban,Do Ban,Binh Dinh,An Nhon
southeast-asia.city-wat-phu-champasak | Champasak | Southeast Asia | s=500 e=None ext=True b=[470, 530] | typological | h=None ds=None | Pre-Angkorian Chenla city and mountain-shrine complex on the Mekong. | al=Shrestapura,Wat Phu,Vat Phou
southeast-asia.city-wethali | Wethali | Southeast Asia | s=350 e=1000 ext=None b=[298, 402] | typological | h=None ds=None | Arakanese kingdom capital with Sanskrit inscriptions and its own coinage. | al=Vesali,Vaishali of Arakan,Rakhine State
southeast-asia.city-wiangkumkam | Wiang Kum Kam | Southeast Asia | s=1286 e=1500 ext=None b=[None, None] | calendar | h=None ds=None | Lan Na's first capital, abandoned to repeated Ping River flooding. | al=Wiang Kumkam,Chiang Mai
west-asia.city-acemhoyuk | Acemhöyük | West Asia | s=-2500 e=-1600 ext=None b=[-2875, -2125] | typological | h=None ds=None | Old Assyrian-period palace town with ivories, possibly the Purushanda of legend. | al=Acemhoyuk,Purushanda?,Aksaray
west-asia.city-adab | Adab | West Asia | s=-3000 e=-1500 ext=None b=[-3450, -2550] | typological | h=None ds=None | Early Sumerian city-state of the goddess Ninhursag. | al=Bismaya,Dhi Qar
west-asia.city-aden | Aden | West Asia | s=-500 e=None ext=True b=[-530, -470] | typological | h=None ds=None | Volcanic-crater harbour controlling the Red Sea entrance for Indian Ocean trade. | al=Eudaemon Arabia,Adan
west-asia.city-ahvaz | Ahvaz | West Asia | s=220 e=None ext=True b=[170, 270] | typological | h=None ds=None | Sasanian sugar and irrigation city on the Karun. | al=Hormizd-Ardashir,Khuzestan
west-asia.city-akkad | Akkad | West Asia | s=-2400 e=-1700 ext=None b=[-2760, -2040] | typological | h=None ds=None | Capital of the world's first territorial empire, and still not securely located. | al=Agade,central Iraq
west-asia.city-akko | Akko | West Asia | s=-3000 e=None ext=True b=[-3180, -2820] | typological | h=None ds=None | Great natural harbour, Canaanite port and capital of the later Crusader kingdom. | al=Acre,Ptolemais,Akka,Northern District
west-asia.city-akshak | Akshak | West Asia | s=-2800 e=-1800 ext=None b=[-3220, -2380] | typological | h=None ds=None | Northern Sumerian city-state that briefly held hegemony. | al=Upi,central Iraq
west-asia.city-alacahoyuk | Alacahöyük | West Asia | s=-3000 e=-1200 ext=None b=[-3180, -2820] | typological | h=None ds=None | Early Bronze royal tombs with sun-disc standards, later a Hittite town. | al=Alaca Hoyuk,Arinna?,Corum
west-asia.city-alalakh | Alalakh | West Asia | s=-2200 e=-1200 ext=None b=[-2332, -2068] | typological | h=None ds=None | Palace city of the Amuq plain, a hinge between Anatolia, Syria and the Aegean. | al=Tell Atchana,Mukish,Hatay
west-asia.city-aleppo | Aleppo | West Asia | s=-3000 e=None ext=True b=[-3060, -2940] | typological | h=None ds=None | Capital of Yamhad and later northern Syria's great caravan metropolis. | al=Halab,Yamhad
west-asia.city-amaseia | Amaseia | West Asia | s=-400 e=None ext=True b=[-460, -340] | typological | h=None ds=None | Pontic royal capital and birthplace of the geographer Strabo. | al=Amasya
west-asia.city-amida | Amida | West Asia | s=-1300 e=None ext=True b=[-1378, -1222] | typological | h=None ds=None | Black-basalt walled Tigris fortress city contested by Rome, Persia and Islam. | al=Diyarbakir,Amid
west-asia.city-amisos | Amisos | West Asia | s=-600 e=None ext=True b=[-690, -510] | typological | h=None ds=None | Pontic port exporting Anatolian metals and timber. | al=Samsun
west-asia.city-amman | Rabbath Ammon | West Asia | s=-1800 e=None ext=True b=[-1908, -1692] | typological | h=None ds=None | Ammonite royal capital, later a Decapolis city and modern Jordan's capital. | al=Philadelphia,Amman
west-asia.city-anbar-city | Al-Anbar | West Asia | s=250 e=1300 ext=None b=[200, 300] | typological | h=None ds=None | Sasanian then early Abbasid Euphrates city, briefly capital before Baghdad. | al=Peroz-Shapur,Anbar
west-asia.city-ancyra | Ancyra | West Asia | s=-1000 e=None ext=True b=[-1060, -940] | typological | h=None ds=None | Galatian and Roman provincial capital, keeper of Augustus's own testament in stone. | al=Ankara,Angora
west-asia.city-ani | Ani | West Asia | s=850 e=1400 ext=None b=[833, 867] | typological | h=None ds=None | Bagratid Armenian capital of a thousand and one churches, abandoned after Mongol and earthquake damage. | al=Kars
west-asia.city-anshan | Anshan | West Asia | s=-3000 e=-600 ext=None b=[-3180, -2820] | typological | h=None ds=None | Highland Elamite capital and the title Cyrus's ancestors claimed. | al=Tal-e Malyan,Anzan,Fars
west-asia.city-antioch | Antioch | West Asia | s=-300 e=None ext=True b=[-310, -290] | typological | h=None ds=None | Seleucid capital and one of the four great cities of the Roman world, cradle of Christian mission. | al=Antakya,Antioch on the Orontes,Hatay
west-asia.city-apamea | Apamea | West Asia | s=-300 e=1200 ext=None b=[-325, -275] | typological | h=None ds=None | Seleucid military capital with a two-kilometre colonnaded avenue. | al=Afamia,Qalaat al-Madiq,Hama
west-asia.city-aphrodisias | Aphrodisias | West Asia | s=-200 e=1200 ext=None b=[-225, -175] | typological | h=None ds=None | Marble-carving city of Asia Minor with a famous sculpture school and stadium. | al=Aydin
west-asia.city-arad | Arad | West Asia | s=-3000 e=-600 ext=None b=[-3180, -2820] | typological | h=None ds=None | Early Bronze desert city and later Judahite fort with a sanctuary and Hebrew ostraca. | al=Tel Arad,Southern District
west-asia.city-arbela | Arbela | West Asia | s=-2300 e=None ext=True b=[-2438, -2162] | typological | h=None ds=None | Ishtar cult city and one of the longest continuously inhabited citadels on earth. | al=Erbil,Urbilum,Hawler
west-asia.city-ardabil | Ardabil | West Asia | s=400 e=None ext=True b=[340, 460] | typological | h=None ds=None | Azerbaijani caravan city and cradle of the Safavid order. | al=
west-asia.city-argishtihinili | Argishtihinili | West Asia | s=-776 e=-300 ext=None b=[-892, -660] | typological | h=None ds=None | Urartian twin-citadel city that later became an Armenian royal seat. | al=Armavir
west-asia.city-arrapha | Arrapha | West Asia | s=-2200 e=None ext=True b=[-2530, -1870] | typological | h=None ds=None | Ancient Hurrian-Assyrian centre continuously occupied as modern Kirkuk. | al=Kirkuk,Arrapkha
west-asia.city-arslantepe | Arslantepe | West Asia | s=-5000 e=-700 ext=None b=[-5300, -4700] | typological | h=None ds=None | Site of the world's earliest known palace and earliest swords, later Neo-Hittite Melid. | al=Melid,Malatya
west-asia.city-artaxata | Artaxata | West Asia | s=-176 e=400 ext=None b=[-201, -151] | typological | h=None ds=None | Hellenistic Armenian capital said to have been laid out on Hannibal's advice. | al=Artashat,Ararat
west-asia.city-ashdod | Ashdod | West Asia | s=-1600 e=None ext=True b=[-1696, -1504] | typological | h=None ds=None | Philistine city and port, later a Hellenistic and Islamic coastal town. | al=Isdud,Azotus,Southern District
west-asia.city-ashkelon | Ashkelon | West Asia | s=-3500 e=1270 ext=None b=[-3710, -3290] | typological | h=None ds=None | Great Canaanite-Philistine seaport, razed by the Mamluks to deny it to Crusaders. | al=Ascalon,Asqalan,Southern District
west-asia.city-asikli-hoyuk | Aşıklı Höyük | West Asia | s=-8400 e=-7400 ext=None b=[-8904, -7896] | typological | h=None ds=None | Central Anatolia's earliest dense village, precursor to Çatalhöyük; not a city. | al=Asikli Hoyuk,Aksaray
west-asia.city-assos | Assos | West Asia | s=-1000 e=1300 ext=None b=[-1150, -850] | typological | h=None ds=None | Aeolian acropolis city where Aristotle taught. | al=Behramkale,Canakkale
west-asia.city-assur | Assur | West Asia | s=-2600 e=1400 ext=None b=[-2652, -2548] | typological | h=None ds=None | Religious heart and first capital of Assyria, home of the god Ashur. | al=Ashur,Qal'at Sherqat,Salah ad-Din
west-asia.city-attaleia | Attaleia | West Asia | s=-150 e=None ext=True b=[-200, -100] | typological | h=None ds=None | Attalid foundation that became southern Anatolia's principal harbour. | al=Antalya,Adalia
west-asia.city-avdat | Oboda | West Asia | s=-300 e=630 ext=None b=[-350, -250] | typological | h=None ds=None | Nabataean then Byzantine Negev caravan town with terraced desert farming. | al=Avdat,Abdah,Negev
west-asia.city-ayanis | Ayanis | West Asia | s=-675 e=-640 ext=None b=[-776, -574] | typological | h=None ds=None | Urartian fortress-city built by Rusa II and destroyed within a generation. | al=Rusahinili Eiduru-kai,Van
west-asia.city-baalbek | Heliopolis (Baalbek) | West Asia | s=-2000 e=None ext=True b=[-2120, -1880] | typological | h=None ds=None | Sanctuary city of Jupiter Heliopolitanus with the largest temple stones ever quarried. | al=Baalbek,Baalbak
west-asia.city-babylon | Babylon | West Asia | s=-2300 e=1000 ext=None b=[-2346, -2254] | typological | h=None ds=None | Hammurabi's law city and Nebuchadnezzar's imperial capital, the archetype of the ancient metropolis. | al=Babel,Babili,Babil
west-asia.city-bad-tibira | Bad-tibira | West Asia | s=-3500 e=-1800 ext=None b=[-4025, -2975] | typological | h=None ds=None | One of the five antediluvian cities of the Sumerian King List. | al=Tell al-Madineh,Dhi Qar
west-asia.city-baghdad | Baghdad | West Asia | s=762 e=None ext=True b=[747, 777] | typological | h=None ds=None | Abbasid round city that became the largest city in the world and the hub of Islamic science. | al=Madinat al-Salam
west-asia.city-barda | Barda | West Asia | s=400 e=None ext=True b=[340, 460] | typological | h=None ds=None | Caucasian Albanian and then Islamic capital of Arran. | al=Partav,Bardhaa
west-asia.city-basra | Basra | West Asia | s=636 e=None ext=True b=[624, 648] | typological | h=None ds=None | Garrison port that grew into the Abbasid world's gateway to the Indian Ocean. | al=Al-Basrah,Basora
west-asia.city-beersheba | Beersheba | West Asia | s=-1200 e=None ext=True b=[-1380, -1020] | typological | h=None ds=None | Planned Iron Age Negev town with a horned altar and a great water system. | al=Tel Sheva,Bir al-Sabi,Southern District
west-asia.city-beidha | Beidha | West Asia | s=-7200 e=-6500 ext=None b=[-8280, -6120] | typological | h=None ds=None | Pre-Pottery Neolithic village showing the shift from round to rectangular houses; not a city. | al=Bayda,Ma'an
west-asia.city-berytus | Berytus | West Asia | s=-3000 e=None ext=True b=[-3180, -2820] | typological | h=None ds=None | Phoenician port that became the Roman East's leading school of law. | al=Beirut,Bayrut
west-asia.city-beth-shean | Beth Shean | West Asia | s=-4000 e=None ext=True b=[-4240, -3760] | typological | h=None ds=None | Continuously occupied mound turned Decapolis city at the Jordan-Jezreel crossroads. | al=Scythopolis,Beisan,Northern District
west-asia.city-beycesultan | Beycesultan | West Asia | s=-4000 e=-1200 ext=None b=[-4600, -3400] | typological | h=None ds=None | Western Anatolian palace town of the Arzawa sphere. | al=Denizli
west-asia.city-bishapur | Bishapur | West Asia | s=266 e=1000 ext=None b=[241, 291] | typological | h=None ds=None | Shapur I's victory city with Roman-influenced mosaics and rock reliefs. | al=Bishapour,Fars
west-asia.city-borsippa | Borsippa | West Asia | s=-2400 e=500 ext=None b=[-2544, -2256] | typological | h=None ds=None | Nabu's city and Babylon's twin, home to a huge unfinished ziggurat and scribal schools. | al=Birs Nimrud,Barsip,Babil
west-asia.city-bosra | Bosra | West Asia | s=-1400 e=None ext=True b=[-1484, -1316] | typological | h=None ds=None | Nabataean northern capital, then capital of Roman Arabia and an early Arab caravan stop. | al=Bostra,Busra al-Sham,Daraa
west-asia.city-caesarea | Caesarea Maritima | West Asia | s=-22 e=1265 ext=None b=[-32, -12] | typological | h=None ds=None | Herod's artificial-harbour city, Roman capital of Judaea and a Christian scholarly centre. | al=Qaysariyah,Haifa District
west-asia.city-caesarea-mazaca | Caesarea Mazaca | West Asia | s=-600 e=None ext=True b=[-636, -564] | typological | h=None ds=None | Cappadocian royal capital, later home of Basil the Great. | al=Kayseri,Mazaka
west-asia.city-can-hasan | Can Hasan | West Asia | s=-6500 e=-5000 ext=None b=[-7475, -5525] | typological | h=None ds=None | Konya plain Neolithic mound with early copper use; not a city. | al=Karaman
west-asia.city-carchemish | Carchemish | West Asia | s=-3000 e=-600 ext=None b=[-3180, -2820] | typological | h=None ds=None | Hittite viceregal seat that survived as the leading Neo-Hittite kingdom. | al=Karkemish,Jerablus,Gaziantep
west-asia.city-cayonu | Çayönü | West Asia | s=-8600 e=-7000 ext=None b=[-9116, -8084] | typological | h=None ds=None | Neolithic village documenting early domestication and skull cults; not a city. | al=Cayonu Tepesi,Diyarbakir
west-asia.city-chalcedon | Chalcedon | West Asia | s=-685 e=None ext=True b=[-726, -644] | typological | h=None ds=None | Bosphorus city that hosted the council defining Christian orthodoxy. | al=Kadikoy,Kalchedon,Istanbul
west-asia.city-charax-spasinou | Charax Spasinou | West Asia | s=-320 e=300 ext=None b=[-370, -270] | typological | h=None ds=None | Capital of Characene and the head of the Gulf sea route to India. | al=Alexandria on the Tigris,Basra
west-asia.city-choga-mami | Choga Mami | West Asia | s=-6000 e=-4800 ext=None b=[-6900, -5100] | typological | h=None ds=None | Samarran village with the earliest known irrigation canals; not a city. | al=Diyala
west-asia.city-chogha-mish | Chogha Mish | West Asia | s=-6800 e=-3000 ext=None b=[-7820, -5780] | typological | h=None ds=None | Large proto-Elamite centre of the Susiana plain preceding Susa's rise. | al=Khuzestan
west-asia.city-cnidus | Cnidus | West Asia | s=-700 e=700 ext=None b=[-805, -595] | typological | h=None ds=None | Dorian port city known for its Aphrodite statue and its medical school. | al=Knidos,Mugla
west-asia.city-ctesiphon | Ctesiphon | West Asia | s=-120 e=800 ext=None b=[-130, -110] | typological | h=None ds=None | Parthian and Sasanian imperial capital, whose brick Taq Kasra vault still stands. | al=Taysafun,Al-Mada'in,Baghdad
west-asia.city-cyzicus | Cyzicus | West Asia | s=-750 e=1100 ext=None b=[-862, -638] | typological | h=None ds=None | Wealthy Propontis port on an isthmus, ruined by earthquakes. | al=Kyzikos,Balikesir
west-asia.city-damascus | Damascus | West Asia | s=-3000 e=None ext=True b=[-3060, -2940] | typological | h=None ds=None | Aramaean royal city and Umayyad imperial capital, plausibly the oldest continuously inhabited city. | al=Dimashq,Dimasqu
west-asia.city-dedan | Dedan | West Asia | s=-900 e=-100 ext=None b=[-954, -846] | typological | h=None ds=None | Capital of the Dedanite and Lihyanite kingdoms on the incense road. | al=Al-Ula,Dadan
west-asia.city-der | Der | West Asia | s=-2500 e=-300 ext=None b=[-2875, -2125] | typological | h=None ds=None | Frontier city of the god Ishtaran, buffer between Babylonia and Elam. | al=Tell Aqar,Badra,Wasit
west-asia.city-derbent | Derbent | West Asia | s=-400 e=None ext=True b=[-425, -375] | typological | h=None ds=None | Sasanian wall-and-gate city sealing the Caspian pass between Europe and Asia. | al=Darband,Bab al-Abwab,Dagestan
west-asia.city-dezful-jundishapur | Shushtar | West Asia | s=-500 e=None ext=True b=[-575, -425] | typological | h=None ds=None | City built around a monumental Sasanian hydraulic system of canals and mills. | al=Sostar,Khuzestan
west-asia.city-dibon | Dibon | West Asia | s=-3000 e=None ext=True b=[-3180, -2820] | typological | h=None ds=None | Moabite capital of King Mesha, whose stele is the longest Moabite text. | al=Dhiban,Madaba
west-asia.city-didyma | Didyma | West Asia | s=-700 e=400 ext=None b=[-805, -595] | typological | h=None ds=None | Oracle sanctuary of Apollo attached to Miletus; ceremonial, not a city. | al=Didyma oracle,Aydin
west-asia.city-dilbat | Dilbat | West Asia | s=-2500 e=-300 ext=None b=[-2875, -2125] | typological | h=None ds=None | Babylonian city of the god Urash with rich land-sale archives. | al=Tell al-Deylam,Babil
west-asia.city-dilmun-qalat | Qal'at al-Bahrain | West Asia | s=-2200 e=1500 ext=None b=[-2332, -2068] | typological | h=None ds=None | Capital of Dilmun, the Gulf trade hub between Mesopotamia and the Indus. | al=Dilmun capital,Bahrain fort,Bahrain
west-asia.city-dor | Dor | West Asia | s=-2000 e=600 ext=None b=[-2300, -1700] | typological | h=None ds=None | Sikil and Phoenician harbour town controlling the Carmel coast. | al=Tel Dor,Northern District
west-asia.city-dumat-al-jandal | Dumat al-Jandal | West Asia | s=-900 e=None ext=True b=[-1035, -765] | typological | h=None ds=None | Oasis stronghold of the Qedarite Arabs, a key desert junction. | al=Adummatu,Jawf,Al-Jawf
west-asia.city-dur-kurigalzu | Dur-Kurigalzu | West Asia | s=-1400 e=-1100 ext=None b=[-1484, -1316] | typological | h=None ds=None | Kassite royal capital with a towering ziggurat, founded and abandoned with its dynasty. | al=Aqar Quf,Baghdad
west-asia.city-dur-sharrukin | Dur-Sharrukin | West Asia | s=-713 e=-605 ext=None b=[-727, -699] | typological | h=None ds=None | Sargon II's purpose-built capital, abandoned almost immediately after his death. | al=Khorsabad,Sargon's Fortress,Nineveh
west-asia.city-dura-europos | Dura-Europos | West Asia | s=-303 e=256 ext=None b=[-313, -293] | typological | h=None ds=None | Euphrates garrison town preserving the earliest church and synagogue paintings, sealed by siege. | al=Dura Europus,Salihiyah,Deir ez-Zor
west-asia.city-dvin | Dvin | West Asia | s=335 e=1236 ext=None b=[310, 360] | typological | h=None ds=None | Armenian catholicosate and caravan capital, destroyed by the Mongols. | al=Dabil,Ararat
west-asia.city-ebla | Ebla | West Asia | s=-3500 e=-1600 ext=None b=[-3570, -3430] | typological | h=None ds=None | Early Syrian kingdom whose 17,000-tablet archive rewrote the map of third-millennium politics. | al=Tell Mardikh,Idlib
west-asia.city-ecbatana | Ecbatana | West Asia | s=-800 e=None ext=True b=[-848, -752] | typological | h=None ds=None | Median capital and Achaemenid summer residence beneath modern Hamadan. | al=Hagmatana,Hamadan
west-asia.city-ed-dur | Ed-Dur | West Asia | s=-100 e=200 ext=None b=[-150, -50] | typological | h=None ds=None | Large Gulf coastal trading town of the Parthian era. | al=Umm al-Quwain site,Umm al-Quwain
west-asia.city-edessa | Edessa | West Asia | s=-303 e=None ext=True b=[-328, -278] | typological | h=None ds=None | Cradle of Syriac Christianity and literature, capital of Osrhoene. | al=Urfa,Urhay,Sanliurfa
west-asia.city-ein-gedi | Ein Gedi | West Asia | s=-700 e=600 ext=None b=[-805, -595] | typological | h=None ds=None | Dead Sea oasis town making balsam perfume, with a mosaic synagogue. | al=Southern District
